name,slug,value,date_of_information,ranking,region
"Qatar","qatar","111,922,000.0","2019 est.","38","Middle East"
"Turkmenistan","turkmenistan","109,037,000.0","2019 est.","39","Central Asia"
"Nigeria","nigeria","104,494,000.0","2019 est.","40","Africa"
"Venezuela","venezuela","103,708,000.0","2019 est.","41","South America"
"Uzbekistan","uzbekistan","102,965,000.0","2019 est.","42","Central Asia"
"Czechia","czechia","99,533,000.0","2019 est.","43","Europe"
"Bangladesh","bangladesh","96,180,000.0","2019 est.","44","South Asia"
"Kuwait","kuwait","92,582,000.0","2019 est.","45","Middle East"
"Hong Kong","hong-kong","92,493,000.0","2019 est.","46","East and Southeast Asia"
"Chile","chile","88,333,000.0","2019 est.","47","South America"
"Colombia","colombia","81,007,000.0","2019 est.","48","South America"
"Oman","oman","76,321,000.0","2019 est.","49","Middle East"
"Greece","greece","70,163,000.0","2019 est.","50","Europe"
"Romania","romania","68,746,000.0","2019 est.","51","Europe"
"Austria","austria","65,540,000.0","2019 est.","52","Europe"
"Israel","israel","61,092,000.0","2019 est.","53","Middle East"
"Morocco","morocco","60,200,000.0","2019 est.","54","Africa"
"Peru","peru","54,996,000.0","2019 est.","55","South America"
